"Country","Articles","Freq","SCP","MCP","MCP_Ratio"
"CHINA         ","6","0.2000","3","3","0.500"
"USA           ","6","0.2000","6","0","0.000"
"UNITED KINGDOM","4","0.1333","3","1","0.250"
"SPAIN         ","3","0.1000","1","2","0.667"
"KOREA         ","2","0.0667","2","0","0.000"
"CANADA        ","1","0.0333","0","1","1.000"
"EGYPT         ","1","0.0333","1","0","0.000"
"FRANCE        ","1","0.0333","0","1","1.000"
"GERMANY       ","1","0.0333","1","0","0.000"
"ITALY         ","1","0.0333","1","0","0.000"
