"Paper         ","DOI","TC","TCperYear","NTC"
"HONG T, 2020, ENERGY BUILD               ","10.1016/j.enbuild.2020.109831 ","182","36.40","2.716"
"YITMEN I, 2021, APPL SCI-BASEL           ","10.3390/app11094276           "," 66","16.50","2.276"
"MAO XIKAI MX, 2019, ENERGY BUILD         ","10.1016/j.enbuild.2019.109519 "," 55"," 9.17","1.746"
"FNAIS A, 2022, INT J LIFE CYCLE ASSESS   ","10.1007/s11367-022-02058-5    "," 53","17.67","1.710"
"GHOROGHI A, 2022, INT J LIFE CYCLE ASSESS","10.1007/s11367-022-02030-3    "," 50","16.67","1.613"
"JI S, 2021, BUILD ENVIRON                ","10.1016/j.buildenv.2021.108267"," 40","10.00","1.379"
"CHEN R, 2023, ENERGY                     ","10.1016/j.energy.2022.125373  "," 31","15.50","2.787"
"YUSSUF RO, 2024, ENERGY BUILD            ","10.1016/j.enbuild.2024.113903 "," 23","23.00","4.929"
"TOOSI HA, 2023, APPL ENERGY              ","10.1016/j.apenergy.2023.120648"," 20","10.00","1.798"
"GAO X, 2020, BUILD RES INFORMAT          ","10.1080/09613218.2019.1691488 "," 19"," 3.80","0.284"
