"Sources       ","Articles"
"SUSTAINABILITY                                        ","38"
"JOURNAL OF CLEANER PRODUCTION                         ","28"
"BUILDINGS                                             ","24"
"BUILDING AND ENVIRONMENT                              ","17"
"INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT        ","17"
"JOURNAL OF BUILDING ENGINEERING                       ","13"
"AUTOMATION IN CONSTRUCTION                            ","12"
"ENERGY AND BUILDINGS                                  ","11"
"IOP CONFERENCE SERIES: EARTH AND ENVIRONMENTAL SCIENCE"," 9"
"RENEWABLE \& SUSTAINABLE ENERGY REVIEWS              "," 7"
